city,agency,stop_id,stop_name,trip_count,route_count
Bengaluru (Bangalore),BMTC,39571,Adakamaranahalli (Magadi Road),4,2
Bengaluru (Bangalore),BMTC,29438,Adakamaranahalli Cross (Magadi Road),86,15
Bengaluru (Bangalore),BMTC,35554,Adakamaranahalli Cross (Magadi Road),95,15
Bengaluru (Bangalore),BMTC,21639,Adakimaranahalli,495,93
Bengaluru (Bangalore),BMTC,22974,Adakimaranahalli,1,1
Bengaluru (Bangalore),BMTC,29439,Adakimaranahalli,534,98
Bengaluru (Bangalore),BMTC,29441,Adakimaranahalli,1,1
Bengaluru (Bangalore),BMTC,29442,Adarshanagara,75,17
Bengaluru (Bangalore),BMTC,35552,Adarshanagara,80,21
Bengaluru (Bangalore),BMTC,29444,Adde Vishwanathapura,5,3
Bengaluru (Bangalore),BMTC,35550,Adde Vishwanathapura,1,1
Bengaluru (Bangalore),BMTC,29445,Addiganahalli,59,22
Bengaluru (Bangalore),BMTC,35549,Addiganahalli,62,32
Bengaluru (Bangalore),BMTC,22981,Addiganahalli Extension,10,4
Bengaluru (Bangalore),BMTC,31347,Addiganahalli Extension,10,6
Bengaluru (Bangalore),BMTC,22982,Adigara Kallahalli,3,1
Bengaluru (Bangalore),BMTC,23391,Adigara Kallahalli,3,2
Bengaluru (Bangalore),BMTC,29446,Adigondanahalli,7,4
Bengaluru (Bangalore),BMTC,35548,Adigondanahalli,8,4
Bengaluru (Bangalore),BMTC,25578,Adigondanahalli Junction,4,2
Bengaluru (Bangalore),BMTC,32772,Adigondanahalli Junction,4,2
Bengaluru (Bangalore),BMTC,39104,Aditya Bakery,83,3
Bengaluru (Bangalore),BMTC,39105,Aditya Bakery,16,2
Bengaluru (Bangalore),BMTC,38161,Adrsha Savana,1,1
Bengaluru (Bangalore),BMTC,38162,Adrsha Savana,1,1
Bengaluru (Bangalore),BMTC,29448,Adugodi,285,22
Bengaluru (Bangalore),BMTC,35544,Adugodi,124,8
Bengaluru (Bangalore),BMTC,35546,Adugodi,157,13
Bengaluru (Bangalore),BMTC,22990,Adugodi Police Station,281,21
Bengaluru (Bangalore),BMTC,23802,Adugodi Police Station,285,22
Bengaluru (Bangalore),BMTC,39938,Adukale Food Factory,117,23
Bengaluru (Bangalore),BMTC,39939,Adukale Food Factory,112,18
Bengaluru (Bangalore),BMTC,22992,Aduru,66,11
Bengaluru (Bangalore),BMTC,22995,Aduru,60,11
Bengaluru (Bangalore),BMTC,22993,Aduru,11,5
Bengaluru (Bangalore),BMTC,22994,Aduru,12,5
Bengaluru (Bangalore),BMTC,36662,Aduru,1,1
Bengaluru (Bangalore),BMTC,29452,Aerospace Bagalur,13,7
Bengaluru (Bangalore),BMTC,35539,Aerospace Bagalur,14,7
Bengaluru (Bangalore),BMTC,29454,Agalakote,41,7
Bengaluru (Bangalore),BMTC,35537,Agalakote,40,7
Bengaluru (Bangalore),BMTC,23003,Agara,25,5
Bengaluru (Bangalore),BMTC,23004,Agara,23,5
Bengaluru (Bangalore),BMTC,40536,Agara,2,1
Bengaluru (Bangalore),BMTC,40537,Agara,2,1
Bengaluru (Bangalore),BMTC,23002,Agara,24,6
Bengaluru (Bangalore),BMTC,31348,Agara,8,3
Bengaluru (Bangalore),BMTC,21640,Agara Cross,309,79
Bengaluru (Bangalore),BMTC,21641,Agara Cross,326,87
Bengaluru (Bangalore),BMTC,20597,Agara Junction,1280,70
Bengaluru (Bangalore),BMTC,20598,Agara Junction,1212,73
Bengaluru (Bangalore),BMTC,24000,Agara Junction,307,53
Bengaluru (Bangalore),BMTC,35769,Agara Junction,301,54
Bengaluru (Bangalore),BMTC,38120,Agara Junction,56,1
Bengaluru (Bangalore),BMTC,38462,Agara Junction,139,4
Bengaluru (Bangalore),BMTC,20599,Agrahara Dasarahalli,1312,164
Bengaluru (Bangalore),BMTC,20600,Agrahara Dasarahalli,1191,158
Bengaluru (Bangalore),BMTC,29456,Agrahara Layout,16,2
Bengaluru (Bangalore),BMTC,35535,Agrahara Layout,15,3
Bengaluru (Bangalore),BMTC,39986,Agrahara Layout Cross,8,2
Bengaluru (Bangalore),BMTC,39987,Agrahara Layout Cross,8,2
Bengaluru (Bangalore),BMTC,31849,Agraharapalya Gate,1,1
Bengaluru (Bangalore),BMTC,35686,Agraharapalya Gate,1,1
Bengaluru (Bangalore),BMTC,36061,Ainahalli,1,1
Bengaluru (Bangalore),BMTC,36062,Ainahalli,1,1
Bengaluru (Bangalore),BMTC,29464,Air Lines Dhaba Gate,35,2
Bengaluru (Bangalore),BMTC,35530,Air Lines Dhaba Gate,36,3
Bengaluru (Bangalore),BMTC,29465,Airport Trumpet,232,31
Bengaluru (Bangalore),BMTC,35529,Airport Trumpet,234,32
Bengaluru (Bangalore),BMTC,39835,Airtel office Koramangala,2,2
Bengaluru (Bangalore),BMTC,29467,Ajjagondahalli,7,3
Bengaluru (Bangalore),BMTC,35527,Ajjagondahalli,7,2
Bengaluru (Bangalore),BMTC,29468,Ajjanahalli,2,1
Bengaluru (Bangalore),BMTC,35526,Ajjanahalli,2,1
Bengaluru (Bangalore),BMTC,29469,Ajmeer Apartment Neeladri Road,16,3
Bengaluru (Bangalore),BMTC,35525,Ajmeer Apartment Neeladri Road,180,7
Bengaluru (Bangalore),BMTC,23022,Akkayammana Betta,27,13
Bengaluru (Bangalore),BMTC,29470,Akkayammana Betta Huttanahalli Cross,22,11
Bengaluru (Bangalore),BMTC,29471,Akkipete Devanahalli,1,1
Bengaluru (Bangalore),BMTC,35524,Akkipete Devanahalli,1,1
Bengaluru (Bangalore),BMTC,23668,Akkithimmanahalli,120,10
Bengaluru (Bangalore),BMTC,31349,Akkithimmanahalli,113,7
Bengaluru (Bangalore),BMTC,29472,Akshayanagara,60,7
Bengaluru (Bangalore),BMTC,35523,Akshayanagara,61,7
Bengaluru (Bangalore),BMTC,29473,Akshayanagara New Town,24,7
Bengaluru (Bangalore),BMTC,35522,Akshayanagara New Town,21,7
Bengaluru (Bangalore),BMTC,25148,Akshyanagara Double Road,23,6
Bengaluru (Bangalore),BMTC,32565,Akshyanagara Double Road,20,6
Bengaluru (Bangalore),BMTC,29475,Aladamara Chikkanahalli Cross,9,3
Bengaluru (Bangalore),BMTC,35520,Aladamara Chikkanahalli Cross,8,3
Bengaluru (Bangalore),BMTC,29476,Aladamara Laggere,292,21
Bengaluru (Bangalore),BMTC,35519,Aladamara Laggere,220,20
Bengaluru (Bangalore),BMTC,25681,Alahalli,7,3
Bengaluru (Bangalore),BMTC,32821,Alahalli,6,2
Bengaluru (Bangalore),BMTC,29477,Alambadi,1,1
Bengaluru (Bangalore),BMTC,35518,Alambadi,1,1
Bengaluru (Bangalore),BMTC,29478,Alanayakanahalli Gate,10,3
Bengaluru (Bangalore),BMTC,35517,Alanayakanahalli Gate,16,5
Bengaluru (Bangalore),BMTC,23034,Ali Bommasandra,11,4
Bengaluru (Bangalore),BMTC,23035,Ali Bommasandra,3,2
Bengaluru (Bangalore),BMTC,39597,Aliaskar Embassy,1,1
Bengaluru (Bangalore),BMTC,21452,Alisda,414,35
Bengaluru (Bangalore),BMTC,21453,Alisda,411,39
Bengaluru (Bangalore),BMTC,29480,Allalasandra,8,5
Bengaluru (Bangalore),BMTC,35515,Allalasandra,8,7
Bengaluru (Bangalore),BMTC,35106,Allalasandra Gate,336,85
Bengaluru (Bangalore),BMTC,39009,Allalasandra Gate,336,88
Bengaluru (Bangalore),BMTC,29481,Allalasandra Gate,417,89
Bengaluru (Bangalore),BMTC,35608,Allalasandra Gate,460,107
Bengaluru (Bangalore),BMTC,35151,Allalasandra Gate FLY,518,20
Bengaluru (Bangalore),BMTC,39271,Allalasandra Gate FLY,520,19
Bengaluru (Bangalore),BMTC,39287,Allalasandra Lake,5,3
