city,agency,route_id,route_short_name,route_full_name,origin_stop,destination_stop,direction_id,trip_count,stop_count,first_departure,last_departure
Bengaluru (Bangalore),BMTC,1000,KBS-3C,Kempegowda Bus Station → Chandapura,Kempegowda Bus Station,Chandapura,0,49,40,04:55:00,22:15:00
Bengaluru (Bangalore),BMTC,1000,KBS-3C,Chandapura → Kempegowda Bus Station,Chandapura,Kempegowda Bus Station,1,38,37,06:30:00,23:45:00
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,Shanthinagara Bus Station - Platform 2 → Depot-02 Shanthinagara,Shanthinagara Bus Station - Platform 2,Depot-02 Shanthinagara,1,96,2,05:25:00,22:58:00
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,Depot-02 Shanthinagara → Shanthinagara Bus Station - Platform 2,Depot-02 Shanthinagara,Shanthinagara Bus Station - Platform 2,0,76,2,05:50:00,19:00:00
Bengaluru (Bangalore),BMTC,1002,333-C,Kempegowda Bus Station → Basavanagara,Kempegowda Bus Station,Basavanagara,0,2,23,06:55:00,18:35:00
Bengaluru (Bangalore),BMTC,1002,333-C,Basavanagara → Kempegowda Bus Station,Basavanagara,Kempegowda Bus Station,1,4,20,06:00:00,14:25:00
Bengaluru (Bangalore),BMTC,1004,361-C,KR Market (Kalasipalya) - Platform 3B → Anekal,KR Market (Kalasipalya) - Platform 3B,Anekal,0,25,52,05:35:00,20:55:00
Bengaluru (Bangalore),BMTC,1004,361-C,Anekal → KR Market (Kalasipalya) - Platform 3B,Anekal,KR Market (Kalasipalya) - Platform 3B,1,23,50,05:40:00,18:10:00
Bengaluru (Bangalore),BMTC,1005,37,Srinagara Bus Station → Shivajinagara Bus Station - Platform 10,Srinagara Bus Station,Shivajinagara Bus Station - Platform 10,1,24,18,06:30:00,20:20:00
Bengaluru (Bangalore),BMTC,1005,37,Shivajinagara Bus Station - Platform 10 → Srinagara Bus Station,Shivajinagara Bus Station - Platform 10,Srinagara Bus Station,0,20,17,07:15:00,19:05:00
Bengaluru (Bangalore),BMTC,1006,KMT-SNBS,Shanthinagara Bus Station - Platform 2 → KR Market (Kalasipalya),Shanthinagara Bus Station - Platform 2,KR Market (Kalasipalya),1,8,6,06:30:00,14:15:00
Bengaluru (Bangalore),BMTC,1006,KMT-SNBS,KR Market (Kalasipalya) → Shanthinagara Bus Station - Platform 2,KR Market (Kalasipalya),Shanthinagara Bus Station - Platform 2,0,8,4,10:40:00,18:55:00
Bengaluru (Bangalore),BMTC,1007,G-3,Electronic City Wipro Main Gate → Brigade Road,Electronic City Wipro Main Gate,Brigade Road,1,72,33,05:00:00,20:05:00
Bengaluru (Bangalore),BMTC,1007,G-3,Brigade Road → Electronic City Wipro Main Gate,Brigade Road,Electronic City Wipro Main Gate,0,85,31,06:10:00,22:00:00
Bengaluru (Bangalore),BMTC,1008,171-G,Koramangala 1st Block → Kempegowda Bus Station,Koramangala 1st Block,Kempegowda Bus Station,1,81,21,04:35:00,21:40:00
Bengaluru (Bangalore),BMTC,1008,171-G,Kempegowda Bus Station → Koramangala 1st Block,Kempegowda Bus Station,Koramangala 1st Block,0,75,27,04:50:00,21:50:00
Bengaluru (Bangalore),BMTC,1009,G-4,Brigade Road → Bannerughatta National Park,Brigade Road,Bannerughatta National Park,0,47,38,05:45:00,22:30:00
Bengaluru (Bangalore),BMTC,1009,G-4,Bannerughatta National Park → Brigade Road,Bannerughatta National Park,Brigade Road,1,46,36,04:40:00,21:00:00
Bengaluru (Bangalore),BMTC,1011,343,KR Market (Kalasipalya) - Platform 3A → Beguru,KR Market (Kalasipalya) - Platform 3A,Beguru,0,55,27,05:10:00,22:05:00
Bengaluru (Bangalore),BMTC,1011,343,Beguru → KR Market (Kalasipalya) - Platform 3A,Beguru,KR Market (Kalasipalya) - Platform 3A,1,49,25,04:50:00,21:25:00
Bengaluru (Bangalore),BMTC,1013,342-F,Sarjapura → Kempegowda Bus Station,Sarjapura,Kempegowda Bus Station,1,50,42,04:15:00,22:35:00
Bengaluru (Bangalore),BMTC,1013,342-F,Kempegowda Bus Station → Sarjapura,Kempegowda Bus Station,Sarjapura,0,57,44,04:00:00,21:25:00
Bengaluru (Bangalore),BMTC,1014,335-E,Kempegowda Bus Station → Kadugodi Bus Station,Kempegowda Bus Station,Kadugodi Bus Station,0,2,47,14:40:00,15:30:00
Bengaluru (Bangalore),BMTC,1014,335-E,Kadugodi Bus Station → Kempegowda Bus Station,Kadugodi Bus Station,Kempegowda Bus Station,1,2,44,09:55:00,11:10:00
Bengaluru (Bangalore),BMTC,1015,12,Kempegowda Bus Station - Platform 11B → Banashankari Bus Station - Platform 1,Kempegowda Bus Station - Platform 11B,Banashankari Bus Station - Platform 1,0,49,17,06:20:00,21:15:00
Bengaluru (Bangalore),BMTC,1015,12,Banashankari Bus Station - Platform 1 → Kempegowda Bus Station - Platform 11B,Banashankari Bus Station - Platform 1,Kempegowda Bus Station - Platform 11B,1,55,14,06:00:00,20:20:00
Bengaluru (Bangalore),BMTC,1016,331,Shivajinagara Bus Station → Kadugodi Bus Station,Shivajinagara Bus Station,Kadugodi Bus Station,0,3,36,05:30:00,15:10:00
Bengaluru (Bangalore),BMTC,1016,331,Kadugodi Bus Station → Shivajinagara Bus Station,Kadugodi Bus Station,Shivajinagara Bus Station,1,3,37,07:05:00,21:15:00
Bengaluru (Bangalore),BMTC,1018,SBS-1K,Shivajinagara Bus Station - Platform 4 → Kadugodi Bus Station,Shivajinagara Bus Station - Platform 4,Kadugodi Bus Station,0,46,36,06:15:00,22:00:00
Bengaluru (Bangalore),BMTC,1018,SBS-1K,Kadugodi Bus Station → Shivajinagara Bus Station - Platform 4,Kadugodi Bus Station,Shivajinagara Bus Station - Platform 4,1,43,37,04:30:00,20:25:00
Bengaluru (Bangalore),BMTC,1019,KBS-1I,Kempegowda Bus Station → Kadugodi Bus Station,Kempegowda Bus Station,Kadugodi Bus Station,0,66,47,04:30:00,21:40:00
Bengaluru (Bangalore),BMTC,1019,KBS-1I,Kadugodi Bus Station → Kempegowda Bus Station,Kadugodi Bus Station,Kempegowda Bus Station,1,63,44,04:20:00,21:20:00
Bengaluru (Bangalore),BMTC,1020,356-M,Kempegowda Bus Station → Anekal,Kempegowda Bus Station,Anekal,0,41,55,04:00:00,17:20:00
Bengaluru (Bangalore),BMTC,1020,356-M,Anekal → Kempegowda Bus Station,Anekal,Kempegowda Bus Station,1,39,53,04:00:00,21:55:00
Bengaluru (Bangalore),BMTC,1021,500-CK,Banashankari Bus Station - Platform 7 → Kadugodi Bus Station,Banashankari Bus Station - Platform 7,Kadugodi Bus Station,0,6,49,05:00:00,19:05:00
Bengaluru (Bangalore),BMTC,1022,343-E,Kempegowda Bus Station → Beguru,Kempegowda Bus Station,Beguru,0,4,32,05:40:00,21:30:00
Bengaluru (Bangalore),BMTC,1022,343-E,Beguru → Kempegowda Bus Station,Beguru,Kempegowda Bus Station,1,4,27,05:25:00,19:50:00
Bengaluru (Bangalore),BMTC,1023,KBS-1K,Kempegowda Bus Station → Kadugodi Bus Station,Kempegowda Bus Station,Kadugodi Bus Station,0,76,40,04:00:00,23:00:00
Bengaluru (Bangalore),BMTC,1023,KBS-1K,Kadugodi Bus Station → Kempegowda Bus Station,Kadugodi Bus Station,Kempegowda Bus Station,1,71,37,04:00:00,23:00:00
Bengaluru (Bangalore),BMTC,1024,500-F,Kadugodi Bus Station → Central Silk Board,Kadugodi Bus Station,Central Silk Board,1,57,37,05:00:00,20:50:00
Bengaluru (Bangalore),BMTC,1024,500-F,Central Silk Board → Kadugodi Bus Station,Central Silk Board,Kadugodi Bus Station,0,57,38,05:35:00,21:40:00
Bengaluru (Bangalore),BMTC,1026,500-A,Hebbala Bridge → Banashankari Bus Station - Platform 7,Hebbala Bridge,Banashankari Bus Station - Platform 7,1,78,45,04:40:00,21:11:00
Bengaluru (Bangalore),BMTC,1026,500-A,Banashankari Bus Station - Platform 7 → Hebbala Bridge,Banashankari Bus Station - Platform 7,Hebbala Bridge,0,85,47,05:00:00,22:35:00
Bengaluru (Bangalore),BMTC,1029,362-C,Shivajinagara Bus Station → Beguru,Shivajinagara Bus Station,Beguru,0,34,33,05:25:00,22:15:00
Bengaluru (Bangalore),BMTC,1029,362-C,Beguru → Shivajinagara Bus Station,Beguru,Shivajinagara Bus Station,1,32,28,05:15:00,20:35:00
Bengaluru (Bangalore),BMTC,1030,143,Neelasandra Bus Stand → KR Market,Neelasandra Bus Stand,KR Market,1,73,10,06:00:00,20:35:00
Bengaluru (Bangalore),BMTC,1030,143,KR Market → Neelasandra Bus Stand,KR Market,Neelasandra Bus Stand,0,70,12,06:35:00,20:35:00
Bengaluru (Bangalore),BMTC,1031,335-E SNBS-KDG,Kadugodi Bus Station → Shanthinagara Bus Station,Kadugodi Bus Station,Shanthinagara Bus Station,1,2,42,17:30:00,17:55:00
Bengaluru (Bangalore),BMTC,1034,96-B,Kempegowda Bus Station → BEML Layout Kamalanagara,Kempegowda Bus Station,BEML Layout Kamalanagara,0,13,13,07:15:00,20:40:00
Bengaluru (Bangalore),BMTC,1034,96-B,BEML Layout Kamalanagara → Kempegowda Bus Station,BEML Layout Kamalanagara,Kempegowda Bus Station,1,11,13,06:40:00,20:05:00
Bengaluru (Bangalore),BMTC,1035,36-B,Kempegowda Bus Station → Girinagara Extension,Kempegowda Bus Station,Girinagara Extension,0,13,21,05:45:00,21:10:00
Bengaluru (Bangalore),BMTC,1035,36-B,Girinagara Extension → Kempegowda Bus Station,Girinagara Extension,Kempegowda Bus Station,1,12,21,05:00:00,20:15:00
Bengaluru (Bangalore),BMTC,1036,SNBS-CORP-KMT,KR Market → Shanthinagara Bus Station,KR Market,Shanthinagara Bus Station,1,2,6,10:05:00,17:50:00
Bengaluru (Bangalore),BMTC,1037,171,Koramangala 1st Block → Kempegowda Bus Station,Koramangala 1st Block,Kempegowda Bus Station,1,17,24,09:10:00,17:55:00
Bengaluru (Bangalore),BMTC,1037,171,Kempegowda Bus Station → Koramangala 1st Block,Kempegowda Bus Station,Koramangala 1st Block,0,12,30,08:00:00,16:45:00
Bengaluru (Bangalore),BMTC,1039,342-A,Sarjapura → KR Market (Kalasipalya) - Platform 3,Sarjapura,KR Market (Kalasipalya) - Platform 3,1,28,39,06:15:00,20:50:00
Bengaluru (Bangalore),BMTC,1039,342-A,KR Market (Kalasipalya) - Platform 3 → Sarjapura,KR Market (Kalasipalya) - Platform 3,Sarjapura,0,26,40,05:00:00,20:55:00
Bengaluru (Bangalore),BMTC,1042,13 SNBS-BGRD,Shanthinagara Bus Station - Platform 2 → Brigade Road,Shanthinagara Bus Station - Platform 2,Brigade Road,0,23,5,06:10:00,18:25:00
Bengaluru (Bangalore),BMTC,1042,13 SNBS-BGRD,Brigade Road → Shanthinagara Bus Station - Platform 2,Brigade Road,Shanthinagara Bus Station - Platform 2,1,14,4,10:50:00,21:40:00
Bengaluru (Bangalore),BMTC,1043,144-E,Shivajinagara Bus Station - Platform 5 → Neelasandra Rose Garden,Shivajinagara Bus Station - Platform 5,Neelasandra Rose Garden,0,81,11,06:05:00,20:25:00
Bengaluru (Bangalore),BMTC,1043,144-E,Neelasandra Rose Garden → Shivajinagara Bus Station - Platform 5,Neelasandra Rose Garden,Shivajinagara Bus Station - Platform 5,1,83,9,06:35:00,21:00:00
Bengaluru (Bangalore),BMTC,1044,501-A,Hebbala Bridge → Banashankari Bus Station - Platform 6,Hebbala Bridge,Banashankari Bus Station - Platform 6,1,38,64,04:40:00,20:15:00
Bengaluru (Bangalore),BMTC,1044,501-A,Banashankari Bus Station - Platform 6 → Hebbala Bridge,Banashankari Bus Station - Platform 6,Hebbala Bridge,0,36,64,06:45:00,20:10:00
Bengaluru (Bangalore),BMTC,1047,KBS-5H,Kempegowda Bus Station - Platform 11B → Harohalli,Kempegowda Bus Station - Platform 11B,Harohalli,0,14,75,05:00:00,19:45:00
Bengaluru (Bangalore),BMTC,1047,KBS-5H,Harohalli → Kempegowda Bus Station - Platform 11B,Harohalli,Kempegowda Bus Station - Platform 11B,1,14,72,04:00:00,20:20:00
Bengaluru (Bangalore),BMTC,1050,43-H,Pramod Layout → Kempegowda Bus Station,Pramod Layout,Kempegowda Bus Station,1,4,22,08:35:00,15:45:00
Bengaluru (Bangalore),BMTC,1050,43-H,Kempegowda Bus Station → Pramod Layout,Kempegowda Bus Station,Pramod Layout,0,4,22,09:30:00,16:45:00
Bengaluru (Bangalore),BMTC,1051,MKT-5H,KR Market (Kalasipalya) → Harohalli,KR Market (Kalasipalya),Harohalli,0,34,68,04:45:00,22:29:00
Bengaluru (Bangalore),BMTC,1051,MKT-5H,Harohalli → KR Market (Kalasipalya),Harohalli,KR Market (Kalasipalya),1,43,67,04:50:00,22:50:00
Bengaluru (Bangalore),BMTC,1052,112,Shivajinagara Bus Station - Platform 5 → Kaval Byrasandra,Shivajinagara Bus Station - Platform 5,Kaval Byrasandra,0,55,22,06:25:00,22:20:00
Bengaluru (Bangalore),BMTC,1052,112,Kaval Byrasandra → Shivajinagara Bus Station - Platform 5,Kaval Byrasandra,Shivajinagara Bus Station - Platform 5,1,51,22,05:50:00,21:50:00
Bengaluru (Bangalore),BMTC,1053,321,Muthkur → KR Market,Muthkur,KR Market,1,2,41,04:45:00,07:55:00
Bengaluru (Bangalore),BMTC,1053,321,KR Market → Muthkur,KR Market,Muthkur,0,2,41,06:10:00,14:25:00
Bengaluru (Bangalore),BMTC,1055,144-K,Neelasandra Rose Garden → Kaval Byrasandra,Neelasandra Rose Garden,Kaval Byrasandra,0,6,25,08:05:00,16:30:00
Bengaluru (Bangalore),BMTC,1055,144-K,Kaval Byrasandra → Neelasandra Rose Garden,Kaval Byrasandra,Neelasandra Rose Garden,1,5,27,09:10:00,15:25:00
Bengaluru (Bangalore),BMTC,1056,KVASC-01,CS-Kendriya Vidyalaya ASC Center → CS-Ashoka Pillar,CS-Kendriya Vidyalaya ASC Center,CS-Ashoka Pillar,1,1,2,14:50:00,14:50:00
Bengaluru (Bangalore),BMTC,1056,KVASC-01,CS-Ashoka Pillar → CS-Kendriya Vidyalaya ASC Center,CS-Ashoka Pillar,CS-Kendriya Vidyalaya ASC Center,0,1,2,07:10:00,07:10:00
Bengaluru (Bangalore),BMTC,1057,43-H ASP-PLO,Ashoka Pillar → Pramod Layout,Ashoka Pillar,Pramod Layout,0,1,16,15:55:00,15:55:00
Bengaluru (Bangalore),BMTC,1059,KVS-SBS,Kendriya Vidyalaya ASC Center → Shivajinagara Bus Station,Kendriya Vidyalaya ASC Center,Shivajinagara Bus Station,0,2,6,08:10:00,08:15:00
Bengaluru (Bangalore),BMTC,1060,SBS-KVASC,Shivajinagara Bus Station → Kendriya Vidyalaya ASC Center,Shivajinagara Bus Station,Kendriya Vidyalaya ASC Center,0,3,8,13:55:00,14:25:00
Bengaluru (Bangalore),BMTC,1062,356-CW UFLY,Electronic City Wipro Main Gate → BDA Complex HSR Layout,Electronic City Wipro Main Gate,BDA Complex HSR Layout,1,2,24,08:55:00,15:20:00
Bengaluru (Bangalore),BMTC,1062,356-CW UFLY,BDA Complex HSR Layout → Electronic City Wipro Main Gate,BDA Complex HSR Layout,Electronic City Wipro Main Gate,0,1,20,09:45:00,09:45:00
Bengaluru (Bangalore),BMTC,1064,SNBS-LBGM-KMT,Shanthinagara Bus Station - Platform 2 → KR Market (Kalasipalya),Shanthinagara Bus Station - Platform 2,KR Market (Kalasipalya),0,8,5,06:10:00,15:40:00
Bengaluru (Bangalore),BMTC,1064,SNBS-LBGM-KMT,KR Market (Kalasipalya) → Shanthinagara Bus Station - Platform 2,KR Market (Kalasipalya),Shanthinagara Bus Station - Platform 2,1,3,5,11:00:00,12:30:00
Bengaluru (Bangalore),BMTC,1065,KBS-3E,Kempegowda Bus Station → Electronic City Wipro Main Gate,Kempegowda Bus Station,Electronic City Wipro Main Gate,0,13,36,03:50:00,16:00:00
Bengaluru (Bangalore),BMTC,1065,KBS-3E,Electronic City Wipro Main Gate → Kempegowda Bus Station,Electronic City Wipro Main Gate,Kempegowda Bus Station,1,17,37,04:50:00,21:00:00
Bengaluru (Bangalore),BMTC,1066,500-D,Hebbala Bridge → Central Silk Board - Platform 2A,Hebbala Bridge,Central Silk Board - Platform 2A,0,127,36,01:40:00,23:00:00
Bengaluru (Bangalore),BMTC,1066,500-D,Central Silk Board - Platform 2A → Hebbala Bridge,Central Silk Board - Platform 2A,Hebbala Bridge,1,134,36,00:05:00,21:40:00
Bengaluru (Bangalore),BMTC,1068,365-P,Kempegowda Bus Station → Anekal,Kempegowda Bus Station,Anekal,0,49,64,04:00:00,21:55:00
Bengaluru (Bangalore),BMTC,1068,365-P,Anekal → Kempegowda Bus Station,Anekal,Kempegowda Bus Station,1,52,61,04:00:00,21:05:00
Bengaluru (Bangalore),BMTC,1069,356-CW Fly,BDA Complex HSR Layout → Electronic City Wipro Main Gate,BDA Complex HSR Layout,Electronic City Wipro Main Gate,0,1,16,16:05:00,16:05:00
Bengaluru (Bangalore),BMTC,1070,365-J,Kempegowda Bus Station → Jigani APC Circle,Kempegowda Bus Station,Jigani APC Circle,0,50,50,05:20:00,21:20:00
Bengaluru (Bangalore),BMTC,1070,365-J,Jigani APC Circle → Kempegowda Bus Station,Jigani APC Circle,Kempegowda Bus Station,1,46,46,05:00:00,23:05:00
Bengaluru (Bangalore),BMTC,1071,365-EA,Kempegowda Bus Station → Kasuvinakunte,Kempegowda Bus Station,Kasuvinakunte,0,2,46,07:30:00,14:20:00
Bengaluru (Bangalore),BMTC,1071,365-EA,Kasuvinakunte → Kempegowda Bus Station,Kasuvinakunte,Kempegowda Bus Station,1,2,43,09:15:00,16:30:00
Bengaluru (Bangalore),BMTC,1072,43-E,Shri Vidhyanagara → Kempegowda Bus Station,Shri Vidhyanagara,Kempegowda Bus Station,1,5,19,08:50:00,16:50:00
Bengaluru (Bangalore),BMTC,1072,43-E,Kempegowda Bus Station → Shri Vidhyanagara,Kempegowda Bus Station,Shri Vidhyanagara,0,4,20,09:40:00,15:55:00
Bengaluru (Bangalore),BMTC,1073,MBS-17,Marathahalli Bridge → Jalahalli Cross,Marathahalli Bridge,Jalahalli Cross,1,1,37,10:45:00,10:45:00
Bengaluru (Bangalore),BMTC,1075,327-C,KR Market → Attibele Bus Stand,KR Market,Attibele Bus Stand,0,3,62,05:55:00,18:55:00
Bengaluru (Bangalore),BMTC,1075,327-C,Attibele Bus Stand → KR Market,Attibele Bus Stand,KR Market,1,3,60,04:00:00,16:20:00
Bengaluru (Bangalore),BMTC,1076,323-J,Shivajinagara Bus Station - Platform 4 → Kuthaganahalli,Shivajinagara Bus Station - Platform 4,Kuthaganahalli,0,3,40,07:10:00,20:05:00
Bengaluru (Bangalore),BMTC,1076,323-J,Kuthaganahalli → Shivajinagara Bus Station - Platform 4,Kuthaganahalli,Shivajinagara Bus Station - Platform 4,1,3,40,05:40:00,17:45:00
Bengaluru (Bangalore),BMTC,1077,285 SRN-KBS-GKVK,Srinagara Bus Station → GKVK,Srinagara Bus Station,GKVK,0,1,29,07:45:00,07:45:00
Bengaluru (Bangalore),BMTC,1077,285 SRN-KBS-GKVK,GKVK → Srinagara Bus Station,GKVK,Srinagara Bus Station,1,1,29,16:25:00,16:25:00
Bengaluru (Bangalore),BMTC,1079,329-J,Shivajinagara Bus Station - Platform 4 → Sheganayakanahalli,Shivajinagara Bus Station - Platform 4,Sheganayakanahalli,0,1,41,11:40:00,11:40:00
Bengaluru (Bangalore),BMTC,1079,329-J,Sheganayakanahalli → Shivajinagara Bus Station - Platform 4,Sheganayakanahalli,Shivajinagara Bus Station - Platform 4,1,1,41,09:25:00,09:25:00
Bengaluru (Bangalore),BMTC,1080,500-D GKVK-CSB,GKVK → Central Silk Board,GKVK,Central Silk Board,0,1,40,09:05:00,09:05:00
Bengaluru (Bangalore),BMTC,1081,329-J SNBS-SNH,Sheganayakanahalli → Shanthinagara Bus Station - Platform 2,Sheganayakanahalli,Shanthinagara Bus Station - Platform 2,1,1,38,17:10:00,17:10:00
Bengaluru (Bangalore),BMTC,1081,329-J SNBS-SNH,Shanthinagara Bus Station - Platform 2 → Sheganayakanahalli,Shanthinagara Bus Station - Platform 2,Sheganayakanahalli,0,1,40,07:35:00,07:35:00
Bengaluru (Bangalore),BMTC,1082,322-M,Tattanuru → KR Market,Tattanuru,KR Market,1,2,47,05:00:00,16:15:00
Bengaluru (Bangalore),BMTC,1082,322-M,KR Market → Tattanuru,KR Market,Tattanuru,0,2,47,06:30:00,19:15:00
Bengaluru (Bangalore),BMTC,1083,G-6,Shirke KHB Quarters → Shanthinagara Bus Station - Platform 1,Shirke KHB Quarters,Shanthinagara Bus Station - Platform 1,1,5,29,06:25:00,20:50:00
Bengaluru (Bangalore),BMTC,1083,G-6,Shanthinagara Bus Station - Platform 1 → Shirke KHB Quarters,Shanthinagara Bus Station - Platform 1,Shirke KHB Quarters,0,7,30,05:25:00,19:05:00
Bengaluru (Bangalore),BMTC,1086,401-M,Yeshawanthapura Bus Station → Kengeri Bus Station - Platform 2,Yeshawanthapura Bus Station,Kengeri Bus Station - Platform 2,1,161,38,04:00:00,22:10:00
Bengaluru (Bangalore),BMTC,1086,401-M,Kengeri Bus Station - Platform 2 → Yeshawanthapura Bus Station,Kengeri Bus Station - Platform 2,Yeshawanthapura Bus Station,0,167,38,04:35:00,22:45:00
Bengaluru (Bangalore),BMTC,1090,13-E,Shri Vidhyanagara → Shivajinagara Bus Station - Platform 10,Shri Vidhyanagara,Shivajinagara Bus Station - Platform 10,1,3,31,10:10:00,17:10:00
Bengaluru (Bangalore),BMTC,1090,13-E,Shivajinagara Bus Station - Platform 10 → Shri Vidhyanagara,Shivajinagara Bus Station - Platform 10,Shri Vidhyanagara,0,3,29,08:05:00,15:50:00
Bengaluru (Bangalore),BMTC,1091,KWS-06,CS-Kengeri Work Shop → CS-Shanthinagara Bus Station,CS-Kengeri Work Shop,CS-Shanthinagara Bus Station,1,1,2,16:00:00,16:00:00
Bengaluru (Bangalore),BMTC,1092,36-G,Kempegowda Bus Station → Avalahalli New BDA Layout,Kempegowda Bus Station,Avalahalli New BDA Layout,0,7,21,05:45:00,20:50:00
Bengaluru (Bangalore),BMTC,1092,36-G,Avalahalli New BDA Layout → Kempegowda Bus Station,Avalahalli New BDA Layout,Kempegowda Bus Station,1,7,21,06:35:00,22:10:00
Bengaluru (Bangalore),BMTC,1096,V-285M,Kempegowda Bus Station → Doddaballapura Bus Stand,Kempegowda Bus Station,Doddaballapura Bus Stand,0,31,45,05:15:00,19:30:00
Bengaluru (Bangalore),BMTC,1096,V-285M,Doddaballapura Bus Stand → Kempegowda Bus Station,Doddaballapura Bus Stand,Kempegowda Bus Station,1,32,48,07:00:00,21:25:00
Bengaluru (Bangalore),BMTC,1097,V-335E,Kempegowda Bus Station → Kadugodi Bus Station,Kempegowda Bus Station,Kadugodi Bus Station,0,62,46,04:30:00,21:50:00
Bengaluru (Bangalore),BMTC,1097,V-335E,Kadugodi Bus Station → Kempegowda Bus Station,Kadugodi Bus Station,Kempegowda Bus Station,1,60,43,05:40:00,22:15:00
Bengaluru (Bangalore),BMTC,1098,V-360B,Kempegowda Bus Station → Attibele Bus Stand,Kempegowda Bus Station,Attibele Bus Stand,0,46,47,04:20:00,21:50:00
Bengaluru (Bangalore),BMTC,1098,V-360B,Attibele Bus Stand → Kempegowda Bus Station,Attibele Bus Stand,Kempegowda Bus Station,1,47,43,05:30:00,22:30:00
Bengaluru (Bangalore),BMTC,1099,D7-KBS,Kempegowda Bus Station - Platform 5 → Depot-07 Subhashnagara,Kempegowda Bus Station - Platform 5,Depot-07 Subhashnagara,1,86,2,03:05:00,22:00:00
Bengaluru (Bangalore),BMTC,1099,D7-KBS,Depot-07 Subhashnagara → Kempegowda Bus Station - Platform 5,Depot-07 Subhashnagara,Kempegowda Bus Station - Platform 5,0,84,2,05:55:00,19:40:00
Bengaluru (Bangalore),BMTC,1100,378,Kengeri Bus Station - Platform 1 → Electronic City 378,Kengeri Bus Station - Platform 1,Electronic City 378,1,171,58,04:30:00,21:55:00
Bengaluru (Bangalore),BMTC,1100,378,Electronic City 378 → Kengeri Bus Station - Platform 1,Electronic City 378,Kengeri Bus Station - Platform 1,0,147,58,04:50:00,22:05:00
Bengaluru (Bangalore),BMTC,1101,KIA-9,Kempegowda International Airport → Kempegowda Bus Station - Platform 30,Kempegowda International Airport,Kempegowda Bus Station - Platform 30,1,138,24,00:05:00,23:50:00
Bengaluru (Bangalore),BMTC,1101,KIA-9,Kempegowda Bus Station - Platform 30 → Kempegowda International Airport,Kempegowda Bus Station - Platform 30,Kempegowda International Airport,0,141,25,00:05:00,23:50:00
Bengaluru (Bangalore),BMTC,1102,237-J,Panchasheela Nagara → Jayanagara 9th Block (40th Cross),Panchasheela Nagara,Jayanagara 9th Block (40th Cross),1,3,32,06:25:00,18:50:00
Bengaluru (Bangalore),BMTC,1102,237-J,Jayanagara 9th Block (40th Cross) → Panchasheela Nagara,Jayanagara 9th Block (40th Cross),Panchasheela Nagara,0,3,32,05:20:00,17:25:00
Bengaluru (Bangalore),BMTC,1104,89-D,Kempegowda Bus Station - Platform 5 → JC Nagara Kurubarahalli,Kempegowda Bus Station - Platform 5,JC Nagara Kurubarahalli,0,19,13,07:10:00,20:25:00
Bengaluru (Bangalore),BMTC,1104,89-D,JC Nagara → Kempegowda Bus Station - Platform 5,JC Nagara,Kempegowda Bus Station - Platform 5,1,19,12,07:00:00,19:45:00
Bengaluru (Bangalore),BMTC,1109,242-B,Tavarekere → Kempegowda Bus Station - Platform 4,Tavarekere,Kempegowda Bus Station - Platform 4,1,132,37,04:20:00,22:50:00
Bengaluru (Bangalore),BMTC,1109,242-B,Kempegowda Bus Station - Platform 4 → Tavarekere,Kempegowda Bus Station - Platform 4,Tavarekere,0,133,36,00:10:00,23:20:00
Bengaluru (Bangalore),BMTC,1110,D16-DPJN,Depot-16 Deepanajalinagara → Deepanjalinagara,Depot-16 Deepanajalinagara,Deepanjalinagara,0,54,2,05:50:00,15:30:00
Bengaluru (Bangalore),BMTC,1110,D16-DPJN,Deepanjalinagara → Depot-16 Deepanajalinagara,Deepanjalinagara,Depot-16 Deepanajalinagara,1,57,2,10:54:00,22:14:00
Bengaluru (Bangalore),BMTC,1111,D31-D31G,Depot-31 Summanahalli → Depot-31 Gate,Depot-31 Summanahalli,Depot-31 Gate,0,73,2,05:55:00,19:00:00
Bengaluru (Bangalore),BMTC,1111,D31-D31G,Depot-31 Gate → Depot-31 Summanahalli,Depot-31 Gate,Depot-31 Summanahalli,1,54,2,06:10:00,22:04:00
Bengaluru (Bangalore),BMTC,1112,242 D35G-KMT,KR Market (Kalasipalya) → Depot-35 Gate,KR Market (Kalasipalya),Depot-35 Gate,1,17,38,09:35:00,21:10:00
Bengaluru (Bangalore),BMTC,1112,242 D35G-KMT,Depot-35 Gate → KR Market (Kalasipalya),Depot-35 Gate,KR Market (Kalasipalya),0,19,35,05:56:00,15:11:00
Bengaluru (Bangalore),BMTC,1113,D35-D35G,Depot-35 Kannalli → Depot-35 Gate,Depot-35 Kannalli,Depot-35 Gate,0,68,2,05:50:00,18:19:00
Bengaluru (Bangalore),BMTC,1113,D35-D35G,Depot-35 Gate → Depot-35 Kannalli,Depot-35 Gate,Depot-35 Kannalli,1,77,2,10:29:00,22:19:00
Bengaluru (Bangalore),BMTC,1114,240-N,KR Market (Kalasipalya) - Platform 6B → Heligehalli Colony,KR Market (Kalasipalya) - Platform 6B,Heligehalli Colony,0,1,82,07:05:00,07:05:00
Bengaluru (Bangalore),BMTC,1114,240-N,Heligehalli Colony → KR Market (Kalasipalya) - Platform 6B,Heligehalli Colony,KR Market (Kalasipalya) - Platform 6B,1,1,80,05:00:00,05:00:00
