city,agency,route_id,route_short_name,route_full_name,origin_stop,destination_stop,direction_id,trip_count,stop_count,first_departure,last_departure
Bengaluru (Bangalore),BMTC,2665,302-GA,Babusabpalya → Shivajinagara Bus Station,Babusabpalya,Shivajinagara Bus Station,1,2,19,14:35:00,17:20:00
Bengaluru (Bangalore),BMTC,2666,281-AP PTH-KIAS,Puttenahalli → Kempegowda International Airport,Puttenahalli,Kempegowda International Airport,0,12,27,05:00:00,17:45:00
Bengaluru (Bangalore),BMTC,2666,281-AP PTH-KIAS,Kempegowda International Airport → Puttenahalli,Kempegowda International Airport,Puttenahalli,1,14,28,09:00:00,22:05:00
Bengaluru (Bangalore),BMTC,2668,281-F KBS-MYH-HNS,Kempegowda Bus Station → Hunasuru,Kempegowda Bus Station,Hunasuru,0,1,42,10:10:00,10:10:00
Bengaluru (Bangalore),BMTC,2668,281-F KBS-MYH-HNS,Hunasuru → Kempegowda Bus Station,Hunasuru,Kempegowda Bus Station,1,1,43,08:00:00,08:00:00
Bengaluru (Bangalore),BMTC,2669,242-M,KR Market (Kalasipalya) - Platform 6B → Dodderi Grama,KR Market (Kalasipalya) - Platform 6B,Dodderi Grama,0,2,63,06:45:00,17:15:00
Bengaluru (Bangalore),BMTC,2669,242-M,Dodderi Grama → KR Market (Kalasipalya) - Platform 6B,Dodderi Grama,KR Market (Kalasipalya) - Platform 6B,1,1,62,08:50:00,08:50:00
Bengaluru (Bangalore),BMTC,2670,BCGS-20,CS-Gowdanapalya → CS-Bishop Coton Girls High School,CS-Gowdanapalya,CS-Bishop Coton Girls High School,0,1,2,07:00:00,07:00:00
Bengaluru (Bangalore),BMTC,2670,BCGS-20,CS-Bishop Coton Girls High School → CS-Gowdanapalya,CS-Bishop Coton Girls High School,CS-Gowdanapalya,1,1,2,14:55:00,14:55:00
Bengaluru (Bangalore),BMTC,2671,KBS-BCGHS,Bishop Coton Girls High School → Kempegowda Bus Station,Bishop Coton Girls High School,Kempegowda Bus Station,1,1,6,08:05:00,08:05:00
Bengaluru (Bangalore),BMTC,2672,242-MA,Sulivara → KR Market (Kalasipalya) - Platform 6B,Sulivara,KR Market (Kalasipalya) - Platform 6B,1,1,60,07:35:00,07:35:00
Bengaluru (Bangalore),BMTC,2672,242-MA,KR Market (Kalasipalya) - Platform 6B → Sulivara,KR Market (Kalasipalya) - Platform 6B,Sulivara,0,1,62,15:20:00,15:20:00
Bengaluru (Bangalore),BMTC,2673,242-MA KBS-SLVR,Sulivara → Kempegowda Bus Station - Platform 4,Sulivara,Kempegowda Bus Station - Platform 4,1,2,56,04:30:00,17:40:00
Bengaluru (Bangalore),BMTC,2673,242-MA KBS-SLVR,Kempegowda Bus Station - Platform 4 → Sulivara,Kempegowda Bus Station - Platform 4,Sulivara,0,2,57,06:00:00,19:35:00
Bengaluru (Bangalore),BMTC,2674,210-P PPLO-CKLS,Poornaprajna Layout → Chikkallasandra,Poornaprajna Layout,Chikkallasandra,0,6,7,06:06:00,09:21:00
Bengaluru (Bangalore),BMTC,2674,210-P PPLO-CKLS,Chikkallasandra → Poornaprajna Layout,Chikkallasandra,Poornaprajna Layout,1,7,8,13:35:00,21:40:00
Bengaluru (Bangalore),BMTC,2677,210-KA KBS-PPLO,Poornaprajna Layout → Kempegowda Bus Station,Poornaprajna Layout,Kempegowda Bus Station,1,2,24,06:21:00,14:36:00
Bengaluru (Bangalore),BMTC,2677,210-KA KBS-PPLO,Kempegowda Bus Station → Poornaprajna Layout,Kempegowda Bus Station,Poornaprajna Layout,0,2,28,18:40:00,20:45:00
Bengaluru (Bangalore),BMTC,2679,210-NG,Uttarahalli Bus Stand → Kempegowda Bus Station - Platform 8B,Uttarahalli Bus Stand,Kempegowda Bus Station - Platform 8B,1,3,21,12:30:00,17:50:00
Bengaluru (Bangalore),BMTC,2679,210-NG,Kempegowda Bus Station - Platform 8B → Uttarahalli Bus Stand,Kempegowda Bus Station - Platform 8B,Uttarahalli Bus Stand,0,3,21,11:20:00,16:30:00
Bengaluru (Bangalore),BMTC,2680,210-NH,Uttarahalli Bus Stand → Kempegowda Bus Station,Uttarahalli Bus Stand,Kempegowda Bus Station,1,3,23,11:45:00,17:20:00
